ResponseID,NPS_Score,Overall_Satisfaction,Chat_Quality_Rating,Memory_Rating,Custom_GPTs_Rating,Voice_Mode_Rating,Image_Gen_Rating,Deep_Research_Rating,Model_Picker_Rating,Mobile_App_Rating,What_Dont_You_Like,What_Would_You_Like_Added,General_Comments,User_Type,Subscription_Tier,Primary_Use_Case,Usage_Frequency
11,10,5,5,4,3,4,3,4,4,4,"Custom GPTs feel not ready compared to the core chat experience. The creation interface is clunky, and sharing/discovery within our Team workspace needs work. Image generation quality is inconsistent for design work that supports my writing projects.",Better Custom GPT templates and easier collaboration features so teams can build shared tools faster. Improved image generation consistency would help when I need visuals for documentation. Memory could be more granular; sometimes I want context from one conversation but not others.,"The Team plan delivers solid value for collaborative writing work, especially with no data training and shared workspace controls. Chat quality and Deep Research are excellent; however, some paid features like Custom GPTs and Image Gen feel like they need another iteration to justify the premium tier cost.",Developer,Team,Writing,Weekly
12,3,4,5,3,4,5,4,3,4,4,"Memory keeps dropping context in longer creative projects, which is kinda frustrating when I'm iterating on scripts or designs. Deep Research also feels not ready compared to the chat quality, tbh. For a Team plan at this price point, I'd expect better consistency across features.","Better memory persistence for creative workflows would be huge, maybe persistent project spaces where GPTs remember multi-session context. Also some advanced filtering or tagging in the Model Picker so I can organize my custom GPTs by use case.","Voice Mode and chat quality are legitimately stellar, and Custom GPTs have been solid for my creative team's workflows. But the NPS is low because feature gaps feel like they're getting patched instead of designed thoughtfully. There's potential here but it needs to catch up on reliability before I'd confidently pitch it to other teams.",Professional,Team,Creative,Daily
13,2,1,4,5,5,4,5,3,3,4,"The free tier caps my Advanced model access to 3 minutes daily, which severely limits customer-support work. Deep Research feels underdeveloped compared to basic chat quality; the analysis lacks depth for complex cases.","Unlock more Advanced minutes for educators, or offer a student/teacher discount tier. Improve Deep Research output; it should match the rigor of regular chat but with extended reasoning.","Memory and image generation work brilliantly for lesson prep. Chat quality is solid. However, the paywall for meaningful feature access frustrates monthly users like me; though the core tool is capable, restrictions make it feel incomplete for professional use.",Educator,Free,Customer-support,Monthly
14,3,4,4,5,4,4,3,4,5,4,"Image generation quality lags behind competitors; outputs often need multiple regenerations to meet professional standards. The free tier's 3-minute daily Advanced limit is frustrating for writing workflows that benefit from extended reasoning, though I understand the subscription model.",Persistent context across sessions without relying on memory alone; deeper image customization controls. Ability to create simple custom GPTs on the free tier would reduce friction for iterative writing projects.,"The model picker and memory features are really reliable anchors for my weekly writing work. Chat quality is solid overall. However, the NPS reflects the artificial constraints of the free plan rather than product deficiency; I'm considering upgrade mainly to unlock consistent Advanced access for complex writing tasks.",Professional,Free,Writing,Weekly
15,8,5,3,3,5,3,5,4,4,5,"Chat quality feels inconsistent, especially when I need reliable research summaries. Memory is basically useless on the free tier; it forgets context constantly. Voice mode has weird lag issues and doesn't capture nuance well. The 3-minute daily Advanced limit is damn frustrating for serious research work.",Bump up the Advanced time allowance or at least let free users access Deep Research without hitting a paywall. Better context retention across conversations would help a lot. Voice mode needs smoother performance; right now it's clunky.,"Mobile app is solid, image gen is surprisingly good. Image picker helps when I need to compare models fast. The free tier feels like a demo that wants me to upgrade, which is fair but leaves gaps for daily research use.",Professional,Free,Research,Daily
16,9,3,4,4,4,4,3,3,2,5,The model picker interface feels unintuitive; I often struggle to understand which model suits my coding tasks best. Image generation quality is inconsistent for technical diagrams. Deep research is too limited on the free tier for academic projects.,"Better guidance on model selection for specific use cases, especially for programming. An improved mobile research tool that doesn't feel so restricted would be valuable since I use my phone daily.",The mobile app is exceptional and makes daily coding work seamless. Chat quality and memory features support my workflow well. I recommend this to classmates despite the free tier constraints because the core experience is solid.,Student,Free,Coding,Daily
17,10,5,3,5,5,4,5,3,2,2,"Model picker is confusing as hell. Why are there so many options and no clear guidance on which one to use? Mobile app feels not ready compared to web, and the message caps on free tier kill productivity workflows.",Better defaults for model selection. Deep Research needs more transparency on sources it's actually pulling from.,"Memory feature saves me hours every month, and image generation is solid. Voice mode works well when I use it. Worth recommending despite the rough edges.",Professional,Free,Productivity,Monthly
18,10,5,5,2,3,4,5,4,4,3,Memory is basically useless. I'll tell it something important for my study notes and it forgets half the context by the next conversation. Also the mobile app feels clunky compared to desktop; GPT building should be easier on phone.,Better memory retention for learning workflows. Let me save study sessions properly instead of losing everything.,Chat quality and image gen are damn solid for school projects. Deep Research helps with papers. Voice mode works fine most days. The Plus plan hits its limits when I'm cramming but it's worth it. Would definitely recommend to other students.,Student,Plus,Learning,Daily
19,9,3,3,4,4,3,2,5,4,3,"Image generation is pretty underwhelming for our support team; we need visuals for documentation but the quality doesn't cut it. Chat quality also feels inconsistent, kinda frustrating when you're relying on it daily for customer responses.","Better image gen output, tbh. And voice mode needs work; it's clunky for support calls where we need clarity. Would love more polish on the mobile app too since we're remote.","Deep Research is really stellar and honestly saves us hours on ticket research. Model Picker and Memory work well enough for our workflow. NPS is 9 because the core product scales with our team and the Enterprise features like SSO and audit logs are solid, but those rough edges keep it from being a 5-star experience.",Professional,Enterprise,Customer-support,Daily
20,7,5,1,4,4,3,5,4,3,5,"chat quality is just... rough. responses feel not ready sometimes, especially when i'm doing longer writing projects. memory works okay but it's inconsistent; loses context when i need it most. voice mode is clunky too, not smooth enough for dictation work.",better chat consistency without hitting a paywall for higher tiers. the message caps on Plus are damn frustrating on heavy writing days. also need smarter model picker; it's too vague about which one actually works best for what.,"image gen and mobile app are solid, deep research helps when it's available. but for a writing-focused user paying $20/mo, the core chat experience feels like it's dragging the whole thing down. not abandoning it yet, but not excited either.",Professional,Plus,Writing,Daily
21,6,3,5,5,5,5,5,5,5,5,the free tier caps are KILLING my workflow. 3 minutes of advanced mode per day isn't enough when i'm trying to tackle real productivity tasks. i hit the limit mid-session constantly and it's frustrating!,"honestly just need longer advanced mode access on free tier or a cheaper paid option. deep research would be amazing to unlock too, would help my research-heavy weeks so much.","chat quality and memory are absolutely stellar, voice mode works great! the core features shine when i can actually use them. just wish the free tier didn't feel so restrictive for someone using this weekly for serious work.",Professional,Free,Productivity,Weekly
22,9,3,2,2,4,3,4,5,2,4,"Chat quality is frustrating as hell. Responses feel not ready sometimes, especially when brainstorming; I need better reasoning, not surface-level answers. Memory is basically useless on the free tier. Model Picker is confusing and clunky. Deep Research is locked behind paywall when it's actually the best feature you've got.","Damn, give free users more than 3 minutes of Advanced daily. For brainstorming sessions that actually go somewhere, that's not enough. Better conversation memory that carries over week to week without losing context. And fix the chat quality issue; right now it's like talking to a half-asleep assistant.","Worth the recommendation because Deep Research and Custom GPTs are really solid; Image Gen works great too. Mobile app is reliable. But the free tier's limits on Advanced Mode and memory make regular brainstorming painful. If you upgraded the base chat quality and memory, I'd probably pay. Right now it's a solid 9 NPS because of potential, but the actual experience sits at 3 overall.",Educator,Free,Brainstorming,Weekly
23,7,5,5,2,3,5,5,4,5,3,"memory feels kinda unreliable for my creative projects. i'll reference something from a past conversation and it just doesn't stick, which is frustrating when you're building on ideas. also the mobile app seems a bit clunky; i think it could be smoother for quick creative prompts on the go.","better memory persistence would help a ton, especially for ongoing creative work. and maybe more control over custom gpt behavior; the current customization options feel somewhat limited for what i'm trying to build.","voice mode and image gen are honestly exceptional; those features alone make the plus tier worthwhile for my workflow. chat quality is solid across the board. i'd give it a 7 overall because it's useful and i use it daily, but there are enough rough edges that keep it from being a no-brainer recommendation.",Professional,Plus,Creative,Daily
24,8,5,3,3,2,5,2,3,5,4,"Custom GPTs feel not ready for my writing workflow; the builder is clunky and outputs aren't consistently better than the base model. Image generation is underwhelming too, especially when I need visuals for content pieces. Chat quality sometimes misses the mark on nuance, and memory doesn't retain context reliably across sessions.",Better custom GPT templates for writers! More granular control over tone and style parameters. Stronger image gen that actually understands design briefs. And please expand deep research access on Plus tier; hitting those caps kills my momentum on bigger projects.,"Voice Mode is FANTASTIC, honestly a standout feature! Model Picker is fantastic too; real control there. The mobile app works great for on-the-go editing. But I'm stuck because Plus doesn't quite match what I need for serious writing work without upgrading, and some core features feel like they're still in beta. NPS 8 because it's solid and useful, just not revolutionary.",Professional,Plus,Writing,Monthly
25,1,1,4,4,5,3,2,5,5,5,"image generation is KILLING me right now. the quality is just not there for creative work, outputs look flat and weird compared to other tools. voice mode feels stilted too, like it's reading off a script instead of having actual conversation flow. and honestly the latency on voice responses is annoying when i'm trying to brainstorm fast.",better image quality! that's the big one. also some kind of creative brief memory so it remembers my style preferences and brand guidelines across conversations without me re-explaining everything.,"custom GPTs are FANTASTIC for our team, deep research is incredible, model picker saves so much time switching between different models depending on the task! the mobile app works perfectly too. but that image gen is holding everything back. we're Team tier and paying good money, so it should feel premium end-to-end, not like some features are still in beta. fix the images and this goes from frustrating to actually worth every penny.",Professional,Team,Creative,Daily
26,9,5,4,5,5,4,4,4,5,4,"Voice Mode can be kinda finicky sometimes. Like, it'll misunderstand what I'm saying or the response quality isn't as consistent as the text chat. Also the mobile app feels a bit clunky when I'm drafting on the go, especially when I need to switch between my notes and the chat.","Better integration with doc tools would be huge for my workflow. Right now I'm copying and pasting drafts back and forth, which defeats the purpose of using it for writing feedback. Also more granular control over which team members can see or edit shared GPTs would help us stay organized.","The Model Picker and Memory features are absolute lifesavers for managing my team's workflow. Custom GPTs mean we're not reinventing the wheel every time someone needs a specific tone or format. I'd recommend this to anyone doing serious writing work, tbh. It's solid for collaboration even if there's room to grow on the mobile and voice side.",Professional,Team,Writing,Daily
27,9,4,3,5,2,3,5,4,5,2,"The chat quality feels inconsistent, tbh. Sometimes responses are spot-on for brainstorming, but other times they miss the mark or get repetitive. Mobile app is kinda clunky too; scrolling through conversations is annoying. Also, the 3-minute Advanced limit on free tier is pretty restrictive when I'm deep in a brainstorm session.","Better chat consistency would help a ton. And if I could get more than 3 minutes of Advanced per day, that'd be huge for extended brainstorming sessions. Voice Mode feels like it needs refinement, maybe more natural pauses and better context retention.","I use this daily and love the memory feature plus image gen and model picker; they're legitimately solid. Deep Research is great too. The NPS 9 reflects that I'd recommend it to friends, but the free tier caps limit what I can fully explore. If voice and mobile improve, this becomes a no-brainer upgrade candidate.",Professional,Free,Brainstorming,Daily
28,7,5,1,3,4,5,4,3,5,2,"chat quality is rough; responses feel generic when i need sharp customer-support answers. memory keeps forgetting context mid-conversation. mobile app is clunky and slow, kills my workflow on the go.",better context retention so i don't repeat myself with support tickets. faster mobile performance; maybe offline drafting. deep research needs less lag for customer research tasks.,voice mode ROCKS! custom gpts are solid too. model picker saves time switching between tools. plus tier is decent but chat quality holds me back from going pro. fix that and i'd be all in!,Professional,Plus,Customer-support,Daily
29,8,5,2,3,5,5,3,4,5,4,"chat quality feels inconsistent, tbh. sometimes the responses are kinda generic or miss the nuance i need for writing work. memory is spotty too, so i end up re-explaining context constantly.",better conversation threading and maybe deeper context retention without hitting my message cap so fast. the 3-min advanced limit is rough when i'm in flow with a writing project.,"voice mode and model picker are solid; those features actually work well for my workflow. custom gpts getting full marks too since they're useful for writing templates. image gen's fine but not exceptional. overall it's a useful tool that mostly does what i need, just wish the core chat felt snappier.",Professional,Free,Writing,Daily
30,9,4,4,2,4,5,4,1,1,5,"Deep Research feels not ready at this tier; it's restricted to the point of being unusable for lesson planning. Memory retention is weak too, I have to re-explain context constantly, which kills productivity when I'm building materials on a tight schedule. Model Picker seems redundant and clutters the interface.","Unlock Deep Research for free users, even in limited form. Better persistent memory across sessions would transform this into a real productivity tool for educators prepping curriculum.","Voice Mode and the mobile app are really stellar; they make quick ideation seamless. Image Gen and Custom GPTs round out a solid toolkit, though the free tier caps are restrictive. I recommend it to colleagues because the fundamentals work well, though they should know the limitations upfront.",Educator,Free,Productivity,Rarely
31,9,4,4,4,4,2,4,3,2,5,voice mode feels clunky and unintuitive; the daily advanced minutes cap is restrictive for creative work that requires iteration. model picker is confusing when I need specific capabilities for different project phases.,better voice interaction quality and longer daily limits on advanced features. the ability to save and organize creative projects across sessions would be valuable for my workflow.,"the mobile app is excellent and works seamlessly. image generation handles my creative needs well. for a monthly user, the free tier serves me reasonably, though access to deeper research capabilities would help validate creative concepts.",Professional,Free,Creative,Monthly
32,8,4,4,3,5,5,3,5,4,3,"The memory feature kinda falls flat for me tbh. I use this weekly for writing assignments and it'd be so helpful if it actually retained context across sessions, but it forgets stuff constantly. Also stuck on the free tier means I can't make custom GPTs even though I rated those 5/5, which is frustrating. Image gen is pretty mediocre too; the outputs feel generic and I end up searching elsewhere.",Better memory that actually works between conversations would be huge for my writing workflow. And maybe more generous free tier limits on Advanced model usage since 3 minutes a day runs out quick when you're workshopping essays.,"Voice mode and deep research are legitimately solid features, so that's why I gave it an 8 for NPS. It's useful for what I need but the free tier restrictions and memory issues keep it from being great. Mobile app feels kinda clunky too compared to web.",Student,Free,Writing,Weekly
33,9,4,4,4,5,3,4,5,5,3,"voice mode kinda feels clunky sometimes, like the latency throws me off when i'm trying to brainstorm ideas out loud. also the mobile app could use some work; i think it lags when i'm switching between chats. and honestly the message caps on plus still bite me on heavy creative days when i'm iterating a lot.","better voice responsiveness would help, maybe less delay between me talking and it actually processing. also i'd love if deep research could dig a bit deeper without the limits; sometimes i feel like i'm just scratching the surface for my creative projects.","custom gpts and model picker are really stellar features that make the tier worth it for my workflow. the research access is pretty solid too. i'd recommend this to friends because the creative tools mostly deliver, even if voice and mobile feel like they're lagging behind the rest of the platform. it's a solid 9 nps situation but there's definitely room to tighten things up.",Student,Plus,Creative,Weekly
34,9,4,4,4,4,3,3,4,3,5,Voice Mode feels limited at 3 minutes daily for Advanced features. Model Picker lacks clarity on when to use each variant for coding tasks. Image generation quality lags behind competitors for technical diagrams.,"Longer voice sessions on Free tier, or clearer guidance on model selection for different coding problems. Better image generation would help with documentation.",Mobile app performance is excellent and makes daily coding work seamless. The platform delivers strong value despite tier restrictions. Would recommend to other developers.,Creator,Free,Coding,Daily
35,8,1,4,4,4,5,4,4,4,4,"the overall experience feels disjointed. voice mode is stellar, but everything else lands at a solid 4/5 at best. custom gpts are useful for creative work, though the interface could be more intuitive. message caps hit fast on heavy days despite the plus tier. deep research feels limited when you need comprehensive intel.","better integration between tools so voice mode feeds directly into custom gpt building. for creative projects, a dedicated workflow that chains voice brainstorming into content generation would be valuable. also, higher message allowances or clearer pricing for heavy users.","nps of 8 is fair. voice mode alone justifies the subscription; however, the plus tier feels like a middle ground that doesn't quite commit to any single strength. rarely using it means the cost-to-value ratio matters more. if the other features matched voice quality, this would be a 5/5 product.",Professional,Plus,Creative,Rarely
36,6,4,5,4,5,4,5,5,5,4,Message caps hit me constantly on heavy research days. Deep research feels limited for a Plus subscriber; would expect more depth for the price.,Unlimited deep research access or higher caps for Plus tier. Better offline functionality on mobile would boost productivity when I'm away from my desk.,"Chat quality and custom GPTs are STELLAR! Image gen and model picker are fantastic. Voice mode is solid but occasionally needs smoothing out. The whole suite supports my workflow really well, just frustrated with those artificial limits.",Professional,Plus,Productivity,Daily
37,5,4,5,4,4,5,4,5,3,1,"Mobile app is basically unusable for customer support work. Model picker feels clunky, hard to switch contexts fast. Free tier caps kill workflow; need more than 3 min advanced daily.",Stable mobile experience that matches web. Better model picker UI for quick switching. Raise daily advanced limits for free users doing actual support work.,"Chat quality is solid, voice mode works great. Deep research is solid when I can access it. The platform does what it claims, but free tier throttling and broken mobile app make weekly use frustrating.",Professional,Free,Customer-support,Weekly
38,10,5,4,4,5,5,5,4,5,4,"Chat quality occasionally misses context in multi-turn coding sessions, particularly when debugging complex algorithms. Memory retention could be sharper for recalling specific code patterns we discussed weeks ago. Deep Research sometimes over-indexes on breadth when I need precision for academic paper verification.",Native integration with Jupyter notebooks and GitHub in the web interface. Better session persistence across Custom GPTs so my teaching assistants don't lose context when handing off student code reviews. Fine-grained audit logs that track which team members accessed specific conversation exports (critical for FERPA compliance in our CS courses).,Enterprise tier delivers exceptional value for our department. Voice Mode and Image Gen are indispensable for creating interactive lecture demos. Model Picker lets me route students to different models for proof verification and practical coding assignments. The SSO and data residency features gave us the compliance foundation our institution required. Strong candidate for renewal.,Educator,Enterprise,Coding,Weekly
39,7,4,2,5,4,3,5,4,3,3,"Chat quality is inconsistent; responses often feel generic when I'm drafting essays or technical papers. Memory works great, but the Model Picker interface is clunky and switching between different models feels slower than it should. Voice Mode transcription sometimes misses nuance when I'm dictating complex arguments. Hit message caps regularly on heavy research days despite Plus tier.",Better context retention across chat switches so I don't re-explain my writing project each session. Native LaTeX rendering for academic papers. Deeper integration between Deep Research and custom GPTs so my research assistants can actually pull live data instead of working from cached info.,"Image Gen and Memory are solid; custom GPTs handle my workflow templates well. The 4/5 overall reflects useful tools that work most of the time, but rough edges in conversation quality and feature depth keep this from being exceptional for serious writing work.",Student,Plus,Writing,Daily
40,10,5,5,5,3,3,3,5,1,5,"The Model Picker interface is confusing and unintuitive. I find myself struggling to understand which model suits my creative projects, and the selection process feels unnecessarily complicated. Additionally, Custom GPTs and Voice Mode feel underdeveloped compared to the core chat experience; they lack the polish and reliability I expect at this tier.",I would appreciate better filtering and recommendation logic in Model Picker to help professionals quickly identify the right tool for their task. Enhanced Custom GPT creation workflows with more granular control would also be valuable for my creative work.,"Deep Research and Mobile App functionality are exceptional and really elevate my daily workflow. The memory system works flawlessly, making it easy to maintain context across sessions. At the Pro tier, I expect all features to meet this standard, but some areas need refinement.. the core chat quality is outstanding, and I recommend this service to colleagues regularly.",Professional,Pro,Creative,Daily
41,0,3,3,4,4,1,4,2,2,5,"voice mode is unusable for my workflow; it drops context constantly and feels not ready. deep research also misses the mark, returning surface-level results when i need thorough analysis for customer support scenarios. model picker is confusing; switching between versions shouldn't require this much friction.","voice mode needs serious polish before it's enterprise-ready. better research depth would help with complex support queries. though the mobile app excels, desktop feature parity would streamline my process.","paying enterprise pricing for features that underperform is frustrating. memory and image gen work well; however, the weak spots feel neglected. rarely using the platform lately because core gaps make it unreliable for support work.",Creator,Enterprise,Customer-support,Rarely
42,7,4,3,4,4,4,3,2,3,3,Deep research feels shallow for the price; chat quality sometimes misses context in customer threads. Memory works okay though it occasionally forgets nuance mid-conversation.,"Better context retention for support tickets. Faster, more reliable research without hitting walls so fast on Plus tier.","Solid for daily customer support work. Custom GPTs help, but image gen and research need work. Worth the $20 if you manage expectations; however, heavy users will bump caps.",Professional,Plus,Customer-support,Daily
43,8,4,4,2,2,3,3,4,5,5,"memory is basically useless for me. it forgets context between sessions even on simple customer support scenarios, which defeats the purpose when i'm trying to build on previous conversations. custom gpts also feel not ready; they're clunky to build and don't perform consistently. voice mode is decent but lags sometimes and misses nuance in complex support questions.",way better memory that actually persists and learns my support workflows. custom gpts need serious UX overhaul so they're not such a pain to set up. also the message caps hit me hard on busy weeks when i'm handling multiple customer threads; plus tier should have more breathing room there.,"model picker is INCREDIBLE, seriously one of the best features. mobile app is solid too! deep research is solid for pulling data fast on customer issues. overall it's a great tool but those weak spots (memory especially) are frustrating when i'm relying on it for actual work. nps 8 because it's useful but those gaps keep it from being something i'd enthusiastically recommend to everyone.",Student,Plus,Customer-support,Weekly
44,4,3,5,5,5,5,2,3,2,4,"image generation is pretty damn weak compared to competitors, and deep research keeps hitting walls when i need actual depth for my work. model picker is clunky too; why make me dig through settings when i just want to switch models fast. message caps are still killing me on heavy research days even with plus.","better image quality out of the box, or at least let me upscale without jumping to a higher tier. deep research needs way more tokens and actual citations that don't feel not ready. make model switching instant, not buried in menus.","the core chat, memory, and custom gpts are legitimately excellent. voice mode is solid too. but for $20 a month on a research subscription, the research feature itself feels incomplete and the image stuff is embarrassing. feels like i'm paying for half a product while the other half lags behind.",Professional,Plus,Research,Daily
45,9,5,5,3,3,4,4,5,3,5,"Memory is basically useless. I tell it context once, reload the chat, and it's gone. For coding work where I'm iterating on the same project across sessions, that's damn frustrating. Custom GPTs feel not ready too; the builder is clunky and they don't retain enough nuance. Model Picker needs work, switching between different models shouldn't feel like guessing.",Fix persistent memory across conversations. Real memory. Also give Plus users better deep research without hitting the wall so fast; right now it's great until it isn't. And the mobile app deserves a proper custom GPT selector instead of burying them in menus.,"Solid 9 NPS because the core chat and voice are damn good, especially for debugging and pair-programming. Deep research is legitimately excellent. But the Plus tier feels like it's one update away from being premium if you just fixed the memory and research caps. Mobile app is the standout though; it's snappy and actually usable for quick coding tasks.",Professional,Plus,Coding,Daily
46,5,4,4,4,5,5,4,5,5,4,"The free tier message caps are kinda limiting when you're debugging code; I hit the wall pretty fast with daily coding work. Voice mode feels slightly robotic compared to what I'd expect, and the mobile app doesn't quite match the web experience for quick prompt access.",Bump up the daily Advanced minute limit or make it less restrictive for heavy users. Deep Research could use better integration with coding queries so I can research libraries and frameworks more seamlessly.,"Overall experience is solid, tbh. Chat quality and memory are reliable for my workflow, and Model Picker is really useful for switching between tools on the fly. The frustration is real with the free tier limits though; I'm basically at a crossroads deciding if paid is worth it for the coding work I do.",Professional,Free,Coding,Daily
47,10,3,5,3,5,5,4,5,5,3,"Memory feels inconsistent, loses context sometimes. Mobile app lags behind web features. Free tier limits on Advanced access hurt brainstorming sessions.",Better memory persistence across chats! More daily Advanced minutes would be GREAT for deep brainstorming work.,"Chat quality is incredible, voice mode absolutely rocks! Custom GPTs and Deep Research are stellar. The brainstorming experience is solid overall but memory gaps break the flow sometimes. Definitely recommending this to devs!",Developer,Free,Brainstorming,Daily
48,7,5,2,1,5,3,4,3,5,4,"Chat memory is basically useless. Can't reference previous conversations or build on past context, which breaks workflow for coding projects. Voice mode feels not ready too.","Persistent memory across sessions. For coding, I need to reference earlier solutions and context without re-explaining the entire problem each time.",Custom GPTs and model picker are solid. Image gen works well. Chat quality drags down the experience though; accuracy issues show up in code suggestions. NPS is 7 because the tool does the job but memory limitations make it frustrating for daily use.,Professional,Team,Coding,Daily
49,7,5,4,3,5,4,2,2,4,3,"Image gen is damn near useless for what I need, and deep research feels not ready. Memory doesn't stick worth a damn either; I'm constantly re-explaining context to the bot. Mobile app lags behind the web version, which is frustrating when I'm helping customers on the go.","Better image generation quality, full deep research capabilities on the free tier (or at least less gimped), and actually reliable memory that remembers customer details across sessions. That'd make support work so much faster.","It's solid for daily customer support work and the model picker helps. Voice mode is pretty good too. But the free tier caps are real limiting, especially when you're juggling multiple customer conversations. NPS is fair; it works, just doesn't blow me away.",Creator,Free,Customer-support,Daily
